ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
11,Rocky,Rocky,14.774066,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.","underdog, philadelphia, transporter, italo-american, fight, love of one's life, publicity, boxer, independence, boxing match, training, lovers, surprise, world champion, amateur, victory",Drama,Rocky Collection,en,English,United Artists,United States of America,John G. Avildsen,11/21/76,119,Released,His whole life was a million-to-one shot.,Missing,tt0075148,1000000,117235147,1976
12,Revenge of the Nerds II: Nerds in Paradise,Revenge of the Nerds II: Nerds in Paradise,10.54375,"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!","nerd, vacation, farce, jock, frame up, defector",Comedy,Revenge of the Nerds Collection,en,English,"Twentieth Century Fox Film Corporation, Amercent Films, American Entertainment Partners L.P., Interscope Communications",United States of America,Joe Roth,7/10/87,98,Released,They're Back!,Missing,tt0093857,0,22642033,1987
13,American Beauty,American Beauty,20.726578,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","male nudity, female nudity, adultery, parent child relationship, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, bittersweet, affair",Drama,Missing,en,English,"DreamWorks SKG, Jinks/Cohen Company",United States of America,Sam Mendes,9/15/99,122,Released,Look closer.,http://www.dreamworks.com/ab/,tt0169547,15000000,356296601,1999
14,Be Cool,Be Cool,13.314233,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.","baseball bat, widow, recording contract, recording studio, russian mafia, music business, night club, pawnshop",Comedy,Chili Palmer Collection,en,"English, Pусский","Double Feature Films, Jersey Films, Nina Saxon Film Design, Metro-Goldwyn-Mayer (MGM)",United States of America,F. Gary Gray,3/4/05,118,Released,Everyone is looking for the next big hit,Missing,tt0377471,53000000,95226116,2005
15,Minority Report,Minority Report,20.666063,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.","self-fulfilling prophecy, washington d.c., evidence, future, hologram, dystopia, murder, neo-noir, future noir",Action,Missing,en,"English, svenska","DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates",United States of America,Steven Spielberg,6/20/02,145,Released,The system is perfect until it comes after you.,Missing,tt0181689,102000000,358372926,2002
16,Skinning,Šišanje,1.018477,"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy.","skinhead, serbia",Action,Missing,sr,Srpski,Hypnopolis,Serbia,Stevan Filipoviƒá,10/6/10,97,Released,Life is sometimes rude game: one mistake can buy you ticket to hell.,http://skinningmovie.com/synopsis.htm,tt1129437,500000,198,2010
17,Red Eye,Red Eye,6.336927,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.","hostage, menace, hitman, airplane",Horror,Missing,en,"English, Pусский","DreamWorks SKG, Craven-Maddalena Films, BenderSpink",United States of America,Wes Craven,8/4/05,85,Released,Fear takes flight.,Missing,tt0421239,26000000,57891803,2005
18,The Invisible Woman,The Invisible Woman,4.183558,"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay.","biography, charles dickens",Drama,Missing,en,English,"BBC Films, Headline Pictures, Magnolia Mae Films, Taeoo Entertainment",United Kingdom,Ralph Fiennes,12/25/13,111,Released,His greatest story was the one he could never tell.,Missing,tt1700845,0,1234254,2013
19,Chalet Girl,Chalet Girl,6.496259,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.","competition, snowboarding, birthday party, chalet, snowboarding competition, skiing, engagement party",Comedy,Missing,en,"Deutsch, English","UK Film Council, Prescience, Aegis Film Fund, Kaleidoscope Films","Austria, Germany, United Kingdom",Phil Traill,2/2/11,96,Released,How to marry a billionaire.,Missing,tt1487118,8000000,1749457,2011
20,Transporter 2,Transporter 2,11.359659,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.","martial arts, war on drugs, kidnapping, bodyguard, baby-snatching",Action,The Transporter Collection,en,"English, Français, Italiano","Twentieth Century Fox Film Corporation, Current Entertainment, TF1 Films Production, Canal+, TPS Star, EuropaCorp, Sea Side Films Florida Inc.",France,Louis Leterrier,8/2/05,87,Released,The Best In The Business Is Back In The Game.,Missing,tt0388482,32000000,85167639,2005
21,Lost in Space,Lost in Space,12.000579,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.","time travel, sabotage, deep space explorer",Adventure,Missing,en,English,"New Line Cinema, Irwin Allen Productions, Prelude Pictures, Saltire Entertainment",United States of America,Stephen Hopkins,4/3/98,130,Released,"Danger, Will Robinson!",Missing,tt0120738,80000000,136159423,1998
22,Friday the 13th Part III,Friday the 13th Part III,7.99229,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.","lake, summer camp, murder, serial killer, slasher, summer, jason voorhees, one by one, friday the thirteenth",Horror,Friday the 13th Collection,en,English,"Paramount Pictures, Jason Productions",United States of America,Steve Miner,8/13/82,95,Released,There's nowhere to hide. We dare you to try.,Missing,tt0083972,4000000,36690067,1982
23,V/H/S,V/H/S,7.820787,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.","webcam, anthology, vhs, burglary, split screen, found footage, mumblecore, ghost child, boxer shorts, vcr, halloween mask, mumblegore, horror anthology",Thriller,V/H/S Collection,en,English,"The Collective, Bloody Disgusting, 8383 Productions",United States of America,"Joe Swanberg, Matt Bettinelli-Olpin, Glenn McQuaid, Ti West, Adam Wingard, David Bruckner, Tyler Gillett, Justin Martinez, Chad Villella, Radio Silence",7/28/12,116,Released,This collection is killer.,http://www.magnetreleasing.com/vhs/,tt2105044,0,100345,2012
24,InSight,InSight,1.323333,"Kaitlyn, an ER nurse who is tending to a young stabbing victim, is accidentally electrocuted by the defibrillator that is used in an effort to save the woman's life. Almost immediately Kaitlyn starts to experience the victim's memories. She turns to family, friends, and the police, but no one takes her seriously. She decides that she must take it upon herself to try to solve the crime - or risk the terrifying visions ending in her own sanity being at stake. Ultimately Kaitlyn teams up with the detective on the case and weaves her way through the victim's past - to discover not only the brutal truth, but also some very unexpected lessons about life, love, sorrow and forgiveness along the way. (official website)",Missing,Thriller,Missing,en,English," Braeburn Entertainment,  Check Entertainment, G.C. Pix ",United States of America,Richard Gabai,9/2/11,92,Released,Fear what you see,http://insightthemovie.com/,tt1687277,0,17011,2011
25,Black Sheep,Black Sheep,7.434577,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop.,"new zealand, sheep, animal horror",Horror,Missing,en,"English, Français, Italiano","New Zealand Film Commission, Live Stock Films",New Zealand,Jonathan King,9/9/06,87,Released,"There are over 40 million sheep in New Zealand, and they're pissed off!",http://www.blacksheep-themovie.com/,tt0779982,0,4947717,2006
26,Dr. Giggles,Dr. Giggles,1.252367,"In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim.",Missing,Comedy,Missing,en,English,"Universal Pictures, Dark Horse Entertainment, Largo Entertainment, JVC Entertainment Networks","Japan, United States of America",Manny Coto,10/23/92,95,Released,The Doctor is out... of his mind.,Missing,tt0104139,0,8403433,1992
27,The Spanish Prisoner,The Spanish Prisoner,4.305735,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,"dialogue, confidence, invention, independent film",Crime,Missing,en,English,"Jean Doumanian Productions, Sweetland Films, Magnolia Films, Jasmine Productions Inc.",United States of America,David Mamet,9/8/97,110,Released,It's the oldest con in the book.,Missing,tt0120176,10000000,13835130,1997
28,What If,What If,10.841891,"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?","male female relationship, best friend, falling in love",Drama,Missing,en,English,"Fastnet Films, Caramel Film, No Trace Camping","Canada, Ireland",Michael Dowse,9/7/13,93,Released,...being friends has its benefits?,Missing,tt1486834,11000000,7847000,2013
29,The Transformers: The Movie,The Transformers: The Movie,6.759181,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","toy, transformation, based on toy, transformers, robots, intergalactic war",Animation,Missing,en,"English, 日本語","De Laurentiis Entertainment Group (DEG), Marvel Productions, Hasbro, Sunbow Productions",United States of America,Nelson Shin,8/8/86,84,Released,Beyond good. Beyond evil. Beyond your wildest imagination.,Missing,tt0092106,6000000,5849647,1986
30,Changing Lanes,Changing Lanes,7.81862,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.","new york, custody battle, suspense, lawyer",Action,Missing,en,English,Paramount Pictures,United States of America,Roger Michell,4/7/02,89,Released,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Missing,tt0264472,45000000,94935764,2002
31,The Intouchables,Intouchables,16.086919,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,"male friendship, masseuse, friendship, aristocrat, interracial friendship, unlikely friendship, duringcreditsstinger",Drama,Missing,fr,"English, Français","Gaumont, TF1 Films Production, Canal+, CinéCinéma, Quad Productions, Chaocorp, Ten Films, TF1",France,"Eric Toledano, Olivier Nakache",11/2/11,112,Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,Missing,tt1675434,13000000,426480871,2011
32,Caché,Caché,5.69586,A married couple is terrorized by a series of videotapes planted on their front porch.,"paris, upper class, puberty, anonymous letter, suppressed past, massacre on french algerians 1961, confidence, moderator, camcorder, menace, lie, algerian, videoband, intellectual, conscience",Mystery,Missing,fr,Français,"Les Films du Losange, Wega Film, BIM Distribuzione, Centre National de la Cinématographie, Filmstiftung Nordrhein-Westfalen, France 3 Cinéma, Eurimages, Bavaria Film, Canal+, Studio Canal, Arte France Cinéma, Westdeutscher Rundfunk (WDR), Filmfonds Wien, ORF Film/Fernseh-Abkommen, Österreichisches Filminstitut","Austria, France, Germany, Italy, United States of America",Michael Haneke,5/2/05,117,Released,Missing,http://www.cache-derfilm.at,tt0387898,0,36000000,2005
33,The Last Witch Hunter,The Last Witch Hunter,13.412445,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.","new york, witch, uprising, witch hunter",Fantasy,Missing,en,English,"Summit Entertainment, Atmosphere Entertainment MM, One Race Films, Goldmann Pictures, NeoReel, Aperture Entertainment, TIK Films",United States of America,Breck Eisner,10/21/15,106,Released,Hunt forever.,http://www.thelastwitchhunter.movie/,tt1618442,90000000,146936910,2015
34,ABCs of Death 2,ABCs of Death 2,8.254856,"Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe.","anthology, woman director, mumblegore, horror anthology",Horror,The ABCs of Death Collection,en,"العربية, English, Français, Deutsch, עִבְרִית, 日本語, Português","Magnet Releasing, Drafthouse Films, Timpson Films","United States of America, New Zealand, Canada, Israel, Japan","Rodney Ascher, Bill Plympton, Erik Matti, Lancelot Oduwa Imasuen, Kristina Buozyte, Bruno Samper, Vincenzo Natali, Larry Fessenden, Julien Maury, Alexandre Bustillo, E.L. Katz, Jen Soska, Aharon Keshales, Navot Papushado, Julian Gilbey, Dennison Ramalho, Jerome Sable, Robert Morgan, Sylvia Soska, Chris Nash, Hajime Ohata, S√¥ichi Umezawa, Todd Rohal, Julian Barratt, Alejandro Brugu√©s, Jim Hosking, Robert Boocheck, Marvin Kren, Juan Mart√≠nez Moreno, Steven Kostanski",10/2/14,125,Released,Some people never learn,Missing,tt2926810,0,7171,2014
35,Rush Hour 3,Rush Hour 3,9.718111,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",ambassador,Action,Rush Hour Collection,en,"Latin, English, Français, 日本語, 普通话",New Line Cinema,United States of America,Brett Ratner,8/8/07,91,Released,The Rush Is On!,Missing,tt0293564,140000000,258022233,2007
36,Safe,Safe,8.234382,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",broken trachea,Action,Missing,en,"English, 普通话, Pусский","Lawrence Bender Productions, IM Global, Automatik Entertainment, Trigger Street Productions, 87Eleven",United States of America,Boaz Yakin,4/16/12,94,Released,She has the code. He is the key.,http://www.safethefilm.com/,tt1656190,30000000,40346186,2012
37,About Adam,About Adam,2.100499,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend.","sex, waitress, sister sister relationship, infidelity, virgin, seduction, brother, girlfriend, marriage, engagement, love, independent film, relationship, customer",Comedy,Missing,en,English,"Bórd Scannán na hÉireann, British Broadcasting Corporation (BBC), Venus Productions","Ireland, United Kingdom, United States of America",Gerard Stembridge,1/28/00,105,Released,He came. He saw. He conquered. One sister at a time.,Missing,tt0199314,0,151559,2000
38,Outbreak,Outbreak,13.676444,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.","river, general, research, army, serum, monkey, epidemic, medical research",Action,Missing,en,"English, 한국어/조선말, Français","Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",United States of America,Wolfgang Petersen,3/10/95,127,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Missing,tt0114069,50000000,189859560,1995
39,Final: The Rapture,Final: The Rapture,0.32926,"A gritty, international tale of four separate stories woven together by a common theme: the Rapture.",Missing,Thriller,Missing,en,"English, 日本語, Español",,,Timothy A. Chey,9/13/13,90,Released,What if you woke up and it finally happened?,http://www.watchfinal.com/,tt2710368,0,92100,2013
40,Major Dundee,Major Dundee,3.055936,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.","mexico, prisoners of war, apache, raid, confederate",War,Missing,en,"English, Français, Español","Columbia Pictures Corporation, Jerry Bresler Productions",United States of America,Sam Peckinpah,4/7/65,123,Released,Missing,Missing,tt0059418,3800000,14873,1965
41,Cocaine Cowboys,Cocaine Cowboys,2.941626,"In the 1980s, ruthless Colombian cocaine barons invaded Miami with a brand of violence unseen in this country since Prohibition-era Chicago - and it put the city on the map. ""Cocaine Cowboys"" is the true story of how Miami became the drug, murder and cash capital of the United States, told by the people who made it all happen.","cocaine, drug dealer",Action,Cocaine Cowboys,en,English,Rakontur,United States of America,Billy Corben,4/26/06,118,Released,How Miami became the cocaine capital of the United States!,http://www.magpictures.com/profile.aspx?id=9833910c-fd4a-4fcb-a734-b3d252473a03,tt0380268,0,163000,2006
42,Cool Hand Luke,Cool Hand Luke,9.718713,"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.","prison, rebel, loss of mother, harassment, imprisonment, dying and death, boxing match, escape, barbed wire, punched in the face, eggs, death",Crime,Missing,en,English,"Warner Bros., Jalem Productions",United States of America,Stuart Rosenberg,6/22/67,126,Released,What we've got here is failure to communicate.,Missing,tt0061512,3000000,16217773,1967
43,The Next Best Thing,The Next Best Thing,2.971999,"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.","gay, parent child relationship, custody battle, flush, yoga, single, best friend, los angeles, single father, co-parenting",Comedy,Missing,en,"Français, English","Paramount Pictures, Lakeshore Entertainment",United States of America,John Schlesinger,3/3/00,108,Released,Best Friends Make The Best Mistakes,Missing,tt0156841,25000000,24362772,2000
44,5 Flights Up,5 Flights Up,9.383088,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,"new york, married couple, moving out, moving, apartment",Drama,Missing,en,English,"Revelations Entertainment, Lascaux Films, Latitude Productions",United States of America,Richard Loncraine,9/5/14,92,Released,A coming of age story,Missing,tt2933544,6000000,1020921,2014
45,The Wedding Date,The Wedding Date,5.615303,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.","based on novel, callboy, wedding, escort, fake boyfriend, woman director",Comedy,Missing,en,English,"26 Films, Gold Circle Films, Visionview Production",United States of America,Clare Kilner,2/4/05,88,Released,Love doesn't come cheap.,https://www.uphe.com/movies/the-wedding-date,tt0372532,15000000,47175038,2005
46,The Double Hour,La doppia ora,2.382068,A chambermaid and a former cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a turn for the worse when her mysterious past is revealed.,"suicide, sex, hotel, dream, psychology, loss, cop, love, microphone, photograph, death of lover",Crime,Missing,it,"Italiano, Español","Indigo Film, Medusa Film",Italy,Giuseppe Capotondi,10/9/09,95,Released,A romance. A robbery. A mystery.,Missing,tt1379222,3906840,4300000,2009
47,Ice Age: The Meltdown,Ice Age: The Meltdown,16.646029,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.","mammoth, sloth, ice age, barrier ice, ice melting, iceberg, flooding, adventure, lovers, deluge, saber-toothed tiger",Animation,Ice Age Collection,en,English,"Blue Sky Studios, Twentieth Century Fox Animation",United States of America,Carlos Saldanha,3/23/06,91,Released,The Ice age is melting away.,http://www.iceagemovies.com/films/ice-age-the-meltdown,tt0438097,80000000,660940780,2006
48,The Hateful Eight,The Hateful Eight,20.328822,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"bounty hunter, wyoming, mountain, narration, hangman, stagecoach, blizzard, post civil war",Crime,Missing,en,"Español, English","Double Feature Films, The Weinstein Company, FilmColony",United States of America,Quentin Tarantino,12/25/15,167,Released,No one comes up here without a damn good reason.,http://thehatefuleight.com/,tt3460252,44000000,155760117,2015
49,Wilson,Wilson,8.984386,"Middle-aged and divorced, Wilson finds himself lonely, smug and obsessed with his past.","naivety, oddball, daughter, misfit, dog, divorcee, based on graphic novel, middle aged man",Drama,Missing,en,English,Ad Hominem Enterprises,United States of America,Craig Johnson,3/24/17,94,Released,Missing,Missing,tt1781058,0,653951,2017
50,Star Trek: Generations,Star Trek: Generations,8.105708,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,"based on tv series, death, exploding planet, mountain cabin, solar system",Science Fiction,Star Trek: The Next Generation Collection,en,English,Paramount Pictures,United States of America,David Carson,11/17/94,118,Released,Boldly go.,Missing,tt0111280,38000000,120000000,1994
